rank,country,children_bll_5_above,children_bll_5_lower,children_bll_5_upper,children_bll_10_above,children_bll_10_lower,children_bll_10_upper
114,Mongolia,140540,62993,270570,16416,7690,33249
86,Jamaica,132746,41732,311095,4233,662,14207
32,Canada,128854,78976,221044,16534,11464,25327
173,Thailand,128384,46519,304469,,,
133,Palestine,126574,55417,247080,13571,6785,24940
9,Australia,116404,66856,208953,14019,9201,22152
180,Turkmenistan,113062,50897,218949,13631,6769,25093
99,Libya,108559,47831,216265,11658,5802,21891
135,Papua New Guinea,103499,30597,294673,,,
77,Hungary,101570,47310,192285,12371,6339,22198
140,Portugal,97745,42259,196510,9560,4580,18129
161,Solomon Islands,95053,27482,180159,3113,45,15555
22,Bosnia and Herzegovina,92648,42214,175329,11075,5001,23115
84,Israel,86431,47048,170444,9530,5841,16853
8,Armenia,72562,32669,140915,8473,4141,16713
46,Czechia,69909,37166,134476,9231,5564,16191
74,Guyana,67527,21176,149402,2884,441,10649
26,Bulgaria,66826,30554,130749,8193,4169,15084
69,Greece,66517,31501,129963,6925,3679,12366
122,Netherlands,58886,34515,95824,7638,5093,11119
50,Djibouti,58699,26508,113772,6926,3223,14327
104,Malaysia,56949,24320,122095,,,
170,Switzerland,54701,26907,108394,5798,3250,10514
130,Oman,53065,24708,106056,5892,3141,10843
123,New Zealand,47673,21760,94720,4826,2469,8943
128,North Macedonia,46163,20990,88280,5404,2600,10605
64,Gabon,42890,19843,81671,5188,2630,9381
184,United Arab Emirates,41924,21839,81178,5040,3032,8785
158,Singapore,41699,19464,83620,4192,2114,7740
159,Slovakia,39588,19708,73182,5130,2901,8869
56,Equatorial Guinea,36536,16844,69982,4498,2337,8120
38,Comoros,36396,16205,70751,4289,1948,8955
92,Kuwait,35004,17995,68926,4078,2399,7259
96,Lebanon,29835,17744,51735,4074,2839,6451
43,Croatia,28823,14403,55727,3741,2132,6619
169,Sweden,27912,17799,43151,3984,2860,5650
49,Denmark,27731,16151,51452,3254,2151,5343
10,Austria,26669,15301,44249,3462,2348,5214
83,Ireland,26445,15386,46996,3161,2097,5022
20,Bhutan,24975,11440,46285,3273,1584,6177
13,Bahrain,24348,10527,49104,2541,1215,5109
141,Qatar,22984,10517,45631,2525,1332,4667
129,Norway,22627,13029,39855,2785,1845,4362
95,Latvia,22240,10275,43020,2694,1370,4993
100,Lithuania,20996,9817,40019,2690,1446,4766
152,São Tomé and Príncipe,20201,9175,37100,2658,1060,6018
29,Cabo Verde,17440,7731,33381,2051,980,3944
190,Vanuatu,14216,2972,38546,99,,675
91,Kiribati,11386,2836,24635,248,,1353
62,Finland,11217,7236,17112,1688,1211,2356
58,Estonia,10715,5097,20340,1370,743,2428
160,Slovenia,8005,4657,14200,1182,797,1911
105,Maldives,6510,1567,20298,7,,79
110,Mauritius,4494,1443,12113,,,
150,Samoa,2598,669,8151,1,,20
61,Fiji,2229,898,4924,,,
108,Marshall Islands,1140,269,3399,2,,22
127,Niue,2,,4,,,
